team,team_,matches,draw,loss,winning,start_year,end_year,,
Algeria,Algeria,147,46,40,61,1963,2021,,
Bahrain,Bahrain,314,99,118,97,1966,2021,,
Comoros,Comoros,7,2,3,2,2006,2021,,
Djibouti,Djibouti,20,2,14,4,1988,2021,,
Egypt,Egypt,159,49,42,68,1957,2021,,
Iraq,Iraq,329,102,69,158,1960,2021,,
Jordan,Jordan,225,72,84,69,1963,2021,,
Kuwait,Kuwait,344,96,108,140,1963,2021,,
Lebanon,Lebanon,165,54,82,29,1963,2021,,
Libya,Libya,146,37,64,45,1957,2021,,
Mauritania,Mauritania,44,13,28,3,1985,2021,,
Morocco,Morocco,145,65,22,58,1958,2021,,
Oman,Oman,250,81,104,65,1974,2021,,
Palestine,Palestine,103,33,55,15,1966,2021,,
Qatar,Qatar,294,74,98,122,1970,2021,,
Saudi Arabia,Saudi_Arabia,300,75,74,151,1963,2021,,
Somalia,Somalia,19,1,15,3,1974,2021,,
South Sudan,South_Sudan,10,3,3,4,2015,2021,,
Sudan,Sudan,103,31,42,30,1957,2021,,
Syria,Syria,250,69,96,85,1957,2021,,
Tunisia,Tunisia,185,52,49,84,1957,2021,,
UAE,UAE,281,72,98,111,1972,2021,,
Yemen,Yemen,144,18,111,15,1966,2021,,